name,email,about_us_url,slack_channel,confluence_url,jira_url,vision_deck_url,vision,mission,org,groups,subgroups,teams
Foundational Goals Strategy
Foundational Goals Performance
SlidesCarnival
SKU Team
Print ESG
Print Partner Operations
Print Partnerships
Print Systems Operations
Print Customer Experience
Core Analytics Pipelines
SEO Platform
Local Payments
Personalisation Enablement
Subscription Lifecycle
Print Browse
Subscription Mobile Enablement
Page Experience
Print E-Commerce
SEO Growth Engineering
Growth Analytics Development
Global Payments
Plans & Promos
Revenue Enablement
Revenue Fraud Prevention
B2B Billing
Subscription Web Enablement
Free to Paid
Revenue Operations
Authentication
Commercialisation
International SEO
Add Value
Onboarding & Concierge
Subscription Foundations
English SEO
Paid Journey
Logged Out Homepage
B2B Data Infrastructure
Programmatic SEO & Data Systems
Personalisation Platform
Print Visualisation
Checkout Platform
Print Discovery
Print Merchants"

Legal & Risk,,,,,,,,Protect & Support the Growth of Canva and our Community,Legal & Risk,"Employment Legal
Product & Privacy Legal
Regulatory & Compliance
Legal Operations
Corporate Legal
Public Policy & Government Affairs
Intellectual Property & Litigation
Commercial Legal",,

Ecosystem,,https://staff.canva.site/ecosystem-hub,#ecosystem,,https://canvadev.atlassian.net/jira/polaris/projects/EC/ideas/view/2839366,https://canv.am/ecosystem-strategy-2025,"To become the world's most pluggable platform, enabling seamless integration into key workflows, external tools, and ecosystems across various industries.",Create an abundant app ecosystem that tailors Canva for 1b delighted users,Product,"Ecosystem Go To Market
Integrations & Solutions
Ecosystem Experiences
Apps APIs
Ecosystem Platform","Solutions
App Experiences
Integrations
GTM
Developer Success","App Connections
Marketplace Automation
DX: Core
Run Platform
App Content & Data
App Review & Publishing
App Runtime
Partnerships
DX: Build
Product Operations / Merchandising
Solutions Engineering
Developer Relations
Auth & Admin Experience
Developer Support
Ecosystem Marketing
App Marketplace
Integrations API Capabilities
AI Integrations Research
Developer Toolkits
AI Integrations Capabilities
App Design Capabilities
Workflow Integrations Capabilities"

Infra,infra-group@canva.com,https://canvadev.atlassian.net/wiki/spaces/IG/overview?homepageId=784369965,#help-infra,https://canvadev.atlassian.net/wiki/spaces/IG/overview?homepageId=784369965,https://canva.atlassian.net/servicedesk/customer/portal/170,https://canvadev.atlassian.net/wiki/spaces/IG/pages/2695862888/Infra+Vision+2026,Infra Vision 2026,To make complex technology simple for Canvanauts by building foundational products that will seamlessly propel Canva to the next level of growth,Platform,"Reliability Platform
DevX
Data Platform
Core Infrastructure","Automation Pipeline
Observability
Engineering Governance
Developer Workflows
Platform Enablement
Build & Collaboration
Runtime Platform","Core Data
Insights, Metrics & Profiles (OIMP)
Traces & Exceptions (OTE)
Cloud Enablement
Backend Workflows
Platform Essentials
Platform Workflows
Web Workflows
CI & CD
Cloud Access
Developer Environment
Data Sync
Logs & Events Data (OLED)
Build Platform
Networking
Analytics Platform
Data Platform Operations
Quality Platform
FinOps
Development Collaboration
AI Developer Tooling Workflows
Infra Analytics
Provisioning
Cloud Compute
Reliability Foundations
Data Platform Workflow
Data Platform Infrastructure
Configuration"

Marketing,marketing-org@canva.com,https://contractors.canva.site/marketing-org-hub,#marketing,https://canvadev.atlassian.net/l/c/v8CuNze9,,https://www.canva.com/design/DAG2i6IepfQ/ASh9tDWPWERm-qTe2mFStQ/edit,To become the most loved brand in the world,To become the most loved brand in the world,Marketing,"Pro Designer Marketing
Marketing Creative
SEA Marketing
LatAm Marketing
Europe Marketing
PR & Communications
North America Marketing
Marketing Technology
B2B Marketing
Global Brand & Product Marketing
Growth Marketing
Marketing Data Science
Marketing Operations
Corporate & Internal Communications","MarTech Scaled Solutions
MarTech Experience
Product Marketing
MarTech Engagement","Global Campaign Creative
Founder Communications
Internal Communications
MarTech Content Operations
Brand Identity Creative
Global Community
Philippines Marketing
International PMM
Core Product PMM
B2B Field Marketing
B2B Partner Marketing
Design School
B2B Communications
Pro Designer Enablement
Pro Designer Growth
Pro Designer Social & Community
Pro Designer Creative
Design School Technology
UK Marketing
B2B Marketing Operations
North America Growth Creative
Messaging Delivery
B2B Customer Marketing
Brazil Marketing
Content Solutions
Lifecycle Marketing
Corporate Communications
B2B Marketing Science
B2B PMM
France Marketing
Product & Brand Communications
Product Marketing Experience
Marketing Brand Experience
International Communications
B2B Content Strategy
Global Campaigns
Global Social Creative
Spain Marketing
Indonesia Marketing
B2B MarTech
Experience Solutions
Italy Marketing
Community Engagement
Pricing Experience
Mexico Marketing
Experiential
Events & Editorial Experience
Marketing AI
NAMER Growth Marketing
NAMER Social
NAMER Community
Europe Partnerships
Marketing Program Management
Marketing Org Operations
Europe Social
LatAm Growth Marketing
Growth PMM
Brand In Product Creative
Performance Marketing
Marketing Creative Production
AdTech
B2B Webinars
Global Partnerships & Sponsorships
NAMER Campaigns
NAMER Partnerships
Europe Campaigns
Europe Growth Marketing
Print Marketing
Europe Marketing Creative
Design School Creative
Edu PMM
Pro Designer PMM
SEA Marketing Creative
MarTech Operations
Delivery & Pipeline
North America Social Creative
Lifecycle Creative
Pro Designer Experience
LatAm Marketing Creative
Thailand Marketing
Marketing Science Tooling & Assets
Strategic Marketing Science
B2B Growth Marketing
North America Campaign Creative
SEA Growth Marketing
B2B Marketing Creative
Global Brand Media
Brand Experience & Partnerships Creative
Europe Community
Marketing AI & Automation
Messaging Compliance"

Design Experience,design-experience@canva.com,https://staff.canva.site/design-experience/,#design-experience,,,,,Build powerful and simple tools that empower anyone to design anything,Product,"Data Visualization
DE Growth
Productivity
Editing Platform
Editing
Video
3D & Mockups
Photo AI","Editing Foundations
Document Platform
Editing Experience
3D & Mockups Content
Video Editor
remove.bg
Video Platform
Video Studio
Effects Platform","Editing Surfaces
Creative Technology
Email
Photo AI Experience
3D Platform
Mockups Operations
Websites
Canva Code
Design Manipulation
Modular Design
Docs
Visual Suite Growth
Sheets
Graphics Platform
3D Content
Editing Features
Text
Document
Design Import
Visual Suite Platform (VSP)
Editing Core
Charts
Content Lab
3D
Print Previews
Data Workflows
remove.bg Marketing
Export
Presentations
Editing Performance
Lightspeed Renderer
remove.bg Support
Whiteboards
Editing Accessibility
Editing Collaboration
Photo AI Effects
Design Gateway
Ripple
Native Video Engine
Download
Widgets
remove.bg Sales & Success
Effects Velocity
Image Editing
Web Engine
Smart Editing
Editing API
Social
Schema
Video AI Engine
Timeline
Effects Native Engine"

Generative AI,,,#generative-ai,,,,To ignite a global creative renaissance through AI,"By June 2027, Canva will be thought of not just as a tool but as an AI creative partner to every individual, team, classroom and enterprise in the world.",Product,"AI Platform
Canva Original Research & Exploration (CORE)
Generative Experience
Canva AI","AI Capabilities Platform
AI Enablement","CORE ANZ Team 4
AI Media
CORE USA Team 2
CORE USA Team 1
CORE ANZ Team 5
CORE EU Team 4
CORE Team China
CORE EU Team 3
CORE EU Team 2
Image Generation
Evaluation Platform
Data Labelling EU
Design Generation EU
Research Enablement
AI Enablement AU
AI Enablement EU
Dataset & Training Platform
Design Generation AU
Design Generation Experience
Inference Platform
Data Labelling PH
Design Generation Platform
Context & Personalisation
Foundational AI Surfaces
Conductor
CORE EU Team 5
CORE ANZ Team 6
Design Generation Workflows
LLM Design Generation
Image Design Generation"

Sales & Success,,,,,,,,,Go To Market,"Scaled Sales
Customer Success
Public Sales
Partnerships
Go To Market Operations & Strategy
Affinity Sales & Support
EMEA Sales
APJ Sales
China Enterprise
AMER Sales
Flourish Sales & Success
Solution Consultants","Agency
Government, NFP, & Healthcare Sales
EMEA Customer Success
AMER Customer Success
Global Implementation Services
Higher Education Sales
Channel Sales
AMER Business Development
EMEA Enterprise Sales
EMEA Strategic Sales
APJ Mid Market Sales
GTM Data
AMER Enterprise Sales
Global Sales Development
Flourish S&S
Small Business Inbound Sales
AMER Solution Consultants
APJ Enterprise Sales
Strategic Partnerships
Flourish Technical & Implementation Services
K-12 Education Advocates
GTM Operations
GTM Technology
GTM Strategy
APJ Customer Success
APJ Solution Consultants
APJ Strategic Sales
APJ Business Development
APJ Small Business Outbound Sales
Scaled Customer Success
AMER Mid Market Sales
EMEA Solution Consultants
AMER Strategic Sales
EMEA Small Business Outbound Sales
EMEA Business Development
GTM Enablement
AMER Small Business Outbound Sales
EMEA Mid Market Sales
PubSec Business Development","AMER Enterprise Success
Enterprise Studio
B2B Intelligence
EMEA K-12 Education Advocates
AMER K-12 Education Advocates
AMER Strategic Success
AMER Mid-Market Success
B2B Analytics
APJ K-12 Education Advocates
EMEA Scaled Success
APJ Strategic Success
EMEA Higher Education Sales
EMEA Strategic Success
AMER Public Success
EMEA Public Succes
AMER Scaled Success
Government & Healthcare Sales
Implementation Managers
Technical Account Managers
APJ Channel Sales
APJ Scaled Success
APJ Enterprise Success
EMEA Channel Sales
AMER Higher Education Sales
LATAM K-12 Education Advocate
Not-For-Profit Sales
EMEA Enterprise Success
AMER Channel Sales
B2B Customer Education
APJ Higher Education Sales
APJ Public Success"

Information Technology,,,,,,,Maximise Every Canvanaut's Impact Through Redefining Technology & Service,,"Security, Trust & IT","Business Platform
IT Platform
Technology Experience",Global IT Operations,"Core Accounting Systems
Space Engineering
Workforce Access Management
IT Data & Analytics
Finance & Legal Systems
Workday Platform
ANZ IT Operations
Technical Business Analysis
AMER IT Operations
CJKI IT Operations
SEA IT Operations
EMEA IT Operations
AI & Automation Platform
People Platform Integration
Collaboration & Communication Platform
Device & Software Management
Business Solutions Engineering"

Finance,,,,,,,,,Finance,"Investor Relations
FP&A
Accounting
Tax","Global Spend
US Tax & Tax Governance
SOX
Center of Excellence FP&A
Business Finance FP&A
Corporate FP&A
Indirect Tax & Tax Technology
Reporting & Accounting Policy
Finance Operations
Revenue & GTM Finance FP&A
Finance Transformation
Australia & International Tax
EMEA Finance Operations","Platform & Technology FP&A
Treasury
Product, Design & Customer Service FP&A
People, Finance & Legal FP&A
B2C Go-to-Market
Procurement Innovation
Travel & Expense
EMEA Finance
B2B Go-to-Market
Procure to Pay
Europe Finance
Revenue Accounting
Payroll
Strategic Sourcing
Topline FP&A
Corporate Accounting"

Content & Discovery,content-and-discovery-group@canva.com,https://canvadev.atlassian.net/wiki/spaces/MAR/overview?homepageId=781189700,#content-and-discovery,https://canvadev.atlassian.net/wiki/spaces/MAR/overview?homepageId=781189700,https://canva.atlassian.net/projects/GCDS?selectedItem=com.atlassian.plugins.atlassian-connect-plugin:app.jxl__p#s/ApAKR0Lp?view=6IYZmhJ8,https://www.canva.com/design/DAGn9iI9fBQ/yK7O3bwpxpltqPLkB-FIPQ/edit,"Creative possibilities shaped by people, unlocked by AI, built for everyone.","We combine human creativity with AI to help everyone design faster, smarter, and in their own unique way.",Product,"Media Platform
Discovery Group
Content Group
Strategy & Insights
Content Partnerships
AI Automation Operations
Content Product
Content Studio","Discovery Platform
Discovery Understanding
Content Creative
Content Review
Content Engine
Content Creators
Content Acquisitions
GenAI Studio
Design Experience & Growth Studio
Teams Studio
Design Studio
Entities
Content Management
Discover & Create","Storage & Distribution
Fonts & Images Processing
Indexing Platform
Discovery Experiences Foundations
File BE
Templates Platform
Audio & Video Platform
Content Navigation
Query Platform
Discovery Understanding Data
Elements Platform
Discover & Create Data
Recommendations
Discovery Data Engineering
Template Review Operations
Core Media
Organising Content
Templates Design
Discovery Operations
Content Labeling
International Templates
Creator Growth & Education
Element Review Operations
Content Tech
Content ML
Template Search Quality
Template Experience
Content Management Data
Private Search Experience
Entities Platform
Audio / Video
Home & Navigation
Elements Experience
Private Search Quality
Editor Content Experience
Content Permissions & Sharing
Launch Experience
Content Creation
Creator Empowerment
Element Search Quality
Review Engineering
Pixabay
Creators Program
Pexels
Content Enrichment
Foundational Operations
In House Studio
AI Craft Studio
Content Enablement Team"

International,,,#international-sg,,,,"Our goal is to make Canva feel like a local product in every market. We empower in-market teams with the autonomy to lead, while enabling them with the tools, systems, and support of our central teams - so we can move faster, build smarter, and grow globally with local impact.",Empower those closest to our international customers to make Canva feel Truly Local across our Top 40 markets.,Growth,"Localisation
EMEA Expansion
SEA Expansion
LATAM Expansion
CJKI
GPTN Expansion","International Platform & Growth Engineering
China
Korea
Japan
UK
Egypt
Thailand
Mexico
Spain
CJKI Shared Resources
Brazil
Africa
Italy
France
India
Vietnam
Indonesia
Germany
Turkey
Netherlands
Poland
Argentina
Philippines
Czech Republic
Noridics
GCC - UAE","CJKI Vibe
Vietnam - SEO
France - Localisation
UK - SEO
Italy - Localisation
Egypt - SEO
International Monetisation
International Product Enablement
International Engagement
International Growth Enablement
CJKI User Voice
Korea Content Creative
India Content Creative
CJKI Finance
CJKI Product Design
Mexico - Localisation
CJKI Research
CJKI Product
Brazil - Content
Korea Marketing
Turkey - SEO
Germany - SEO
China User Voice
Germany - Localisation
CJKI Operations
Italy - Content
CJKI QA
CJKI Data
France - SEO
Regional Localisation Team
China Enterprise
Egypt - Localisation
Template Localisation
Thailand - Content
France - Content
UK - Localisation
China Design Operations
China Creator
Mexico - Content
China Content Moderation
Vietnam - Localisation
Indonesia - Content
Spain - Localisation
Africa - SEO
UK - Content
Indonesia - Localisation
Spain - SEO
China Trust & Safety Operations
CJKI TPM
Thailand - SEO
Italy - SEO
Vietnam - Content
Spain - Content
Egypt - Content
Africa - Content
Brazil - SEO
Indonesia - SEO
China Marketing
India Enterprise
Product Localisation
India Marketing
Mexico - SEO
China Content Creative
China Legal
Marketing Localisation
Thailand - Localisation
CJKI People
Brazil - Localisation
Africa - Localisation
Turkey - Localisation
Turkey - Content
China Sales & Success
Netherlands - SEO
Netherlands - Localisation
Netherlands - Content
Poland - SEO
Germany - Content
Poland - Content
Poland - Localisation"

Pro Design,,,,,,,,,Product,"Affinity
Flourish
Cy","Affinity - Operations
Flourish","Affinity Core Product
Affinity Research
Affinity UI
Affinity QA
Flourish Product & Templates
Flourish Marketing & Content
Flourish Platform
Content & Education
Affinity Marketing & Creative
Affinity People
Affinity Development & QA"

